location,site,year1stTag,tag,plot,obs.year,dah,dah.class,dah.superclass,height,basalStems,fruit,plot.dens,plot.densDAH,densEffect,dens.dahEffect,densEffect.9class,dens.dahEffect.9class,name,nhlc
unh,eff,2010,257,107,2010,0.97,1,B,182,1,0,15,NA,8,NA,8,NA,eff107,NA
unh,eff,2010,258,107,2010,0.43,0,A,79,1,0,15,NA,14,NA,14,NA,eff107,NA
unh,eff,2010,259,107,2010,0.46,0,A,75,1,0,15,NA,14,NA,14,NA,eff107,NA
unh,eff,2010,260,109,2010,1.08,2,B,184,1,0,13,NA,10,NA,10,NA,eff109,NA
unh,eff,2010,261,109,2010,0.3,0,A,62,2,0,13,NA,12,NA,12,NA,eff109,NA
unh,eff,2010,262,109,2010,2.03,4,C,343,1,1,13,NA,0,NA,0,NA,eff109,NA
unh,eff,2010,263,114,2010,1.71,3,B,289,2,0,11,NA,1,NA,1,NA,eff114,NA
unh,eff,2010,264,114,2010,0.8,1,B,134,1,0,11,NA,4,NA,4,NA,eff114,NA
unh,eff,2010,265,114,2010,0.21,0,A,36,1,0,11,NA,10,NA,10,NA,eff114,NA
unh,eff,2010,266,114,2010,0.43,0,A,64,4,0,11,NA,10,NA,10,NA,eff114,NA
unh,eff,2010,201,12,2010,0.16,0,A,19,1,0,4,NA,3,NA,3,NA,eff12,NA
unh,eff,2010,267,120,2010,0.93,1,B,200,1,0,2,NA,1,NA,1,NA,eff120,NA
unh,eff,2010,346,122,2010,0.49,0,A,75,1,0,12,NA,11,NA,11,NA,eff122,NA
unh,eff,2010,347,122,2010,0.34,0,A,42,1,0,12,NA,11,NA,11,NA,eff122,NA
unh,eff,2010,268,123,2010,2.31,4,C,350,3,1,7,NA,0,NA,0,NA,eff123,NA
unh,eff,2010,269,123,2010,0.27,0,A,40,1,0,7,NA,6,NA,6,NA,eff123,NA
unh,eff,2010,270,123,2010,0.56,1,B,106,1,0,7,NA,3,NA,3,NA,eff123,NA
unh,eff,2010,271,123,2010,0.32,0,A,41,1,0,7,NA,6,NA,6,NA,eff123,NA
unh,eff,2010,272,125,2010,0.94,1,B,163,2,0,14,NA,1,NA,1,NA,eff125,NA
unh,eff,2010,273,125,2010,0.67,1,B,95,1,0,14,NA,7,NA,7,NA,eff125,NA
unh,eff,2010,274,125,2010,0.36,0,A,27,2,0,14,NA,13,NA,13,NA,eff125,NA
unh,eff,2010,275,125,2010,0.3,0,A,45,1,0,14,NA,13,NA,13,NA,eff125,NA
unh,eff,2010,276,129,2010,0.71,1,B,147,1,0,8,NA,4,NA,4,NA,eff129,NA
unh,eff,2010,277,129,2010,0.25,0,A,26,1,0,8,NA,7,NA,7,NA,eff129,NA
unh,eff,2010,202,13,2010,0.38,0,A,20,1,0,1,NA,0,NA,0,NA,eff13,NA
unh,eff,2010,278,130,2010,2.92,5,C,400,1,7,13,NA,0,NA,0,NA,eff130,NA
unh,eff,2010,279,130,2010,0.84,1,B,199,1,1,13,NA,8,NA,8,NA,eff130,NA
unh,eff,2010,280,130,2010,0.35,0,A,35,1,0,13,NA,12,NA,12,NA,eff130,NA
unh,eff,2010,281,130,2010,0.28,0,A,42,1,0,13,NA,12,NA,12,NA,eff130,NA
unh,eff,2010,282,137,2010,0.32,0,A,51,3,0,10,NA,9,NA,9,NA,eff137,NA
unh,eff,2010,283,137,2010,0.9,1,B,151,1,0,10,NA,4,NA,4,NA,eff137,NA
unh,eff,2010,284,137,2010,0.3,0,A,41,1,0,10,NA,9,NA,9,NA,eff137,NA
unh,eff,2010,285,137,2010,1.57,3,B,244,4,0,10,NA,2,NA,2,NA,eff137,NA
unh,eff,2010,286,139,2010,0.23,0,A,34,1,0,11,NA,10,NA,10,NA,eff139,NA
unh,eff,2010,287,139,2010,0.77,1,B,230,3,0,11,NA,5,NA,5,NA,eff139,NA
unh,eff,2010,288,142,2010,0.32,0,A,47,1,0,8,NA,7,NA,7,NA,eff142,NA
unh,eff,2010,289,142,2010,0.48,0,A,81,1,0,8,NA,4,NA,4,NA,eff142,NA
unh,eff,2010,348,143,2010,0.28,0,A,60,2,0,7,NA,6,NA,6,NA,eff143,NA
unh,eff,2010,349,143,2010,0.21,0,A,36,1,0,7,NA,6,NA,6,NA,eff143,NA
unh,eff,2010,290,144,2010,1.5,3,B,267,4,0,10,NA,0,NA,0,NA,eff144,NA
unh,eff,2010,291,144,2010,0.4,0,A,42,1,0,10,NA,9,NA,9,NA,eff144,NA
