t_0,t_1,Date,Site,Plot_type,Plot_abbrev,Plant,Branch,Treatment,i_t1,m_t1,T_t1,b_t1,i_t0,m_t0,T_t0,b_t0
0,1,8/17/17,Horti Farm,cleared,HF_CL,1,A,open,2,8,10,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,1,B,open,3,5,8,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,1,C,closed,2,5,7,0,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,1,D,closed,0,4,4,0,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,2,A,open,6,13,19,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,2,B,open,NA,NA,NA,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,2,C,closed,8,9,17,0,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,2,D,closed,NA,NA,NA,NA,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,3,A,open,9,0,9,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,6,A,open,8,11,19,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,3,C,closed,13,1,14,0,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,6,C,closed,2,10,12,0,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,4,A,open,8,23,31,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,4,B,open,18,26,44,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,4,C,closed,6,16,22,1,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,4,D,closed,9,16,25,0,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,5,A,open,54,33,87,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,5,B,open,9,29,38,,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,5,C,closed,11,20,31,0,,,,
0,1,8/17/17,Horti Farm,cleared,HF_CL,5,D,closed,9,21,30,0,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,1,A,open,0,5,5,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,1,B,open,NA,NA,NA,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,1,C,closed,0,4,4,0,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,1,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,2,A,open,0,2,2,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,2,B,open,NA,NA,NA,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,2,C,closed,0,2,2,0,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,2,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,3,A,open,0,5,5,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,3,B,open,NA,NA,NA,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,3,C,closed,0,2,2,0,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,3,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,4,A,open,2,0,2,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,4,B,open,NA,NA,NA,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,4,C,closed,3,0,3,0,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,4,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,5,A,open,0,2,2,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,5,B,open,NA,NA,NA,,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,5,C,closed,0,3,3,0,,,,
0,1,8/16/17,College Woods,white pine,CW_WP,5,D,closed,NA,NA,NA,NA,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,1,A,open,0,1,1,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,1,B,open,NA,NA,NA,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,1,C,closed,0,2,2,0,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,1,D,closed,NA,NA,NA,NA,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,2,A,open,0,4,4,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,2,B,open,NA,NA,NA,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,2,C,closed,1,1,2,0,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,2,D,closed,NA,NA,NA,NA,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,3,A,open,2,2,4,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,3,B,open,NA,NA,NA,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,3,C,closed,3,3,6,0,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,3,D,closed,NA,NA,NA,NA,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,4,A,open,5,0,5,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,4,B,open,NA,NA,NA,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,4,C,closed,2,0,2,0,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,4,D,closed,NA,NA,NA,NA,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,5,A,open,0,4,4,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,5,B,open,NA,NA,NA,,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,5,C,closed,0,2,2,0,,,,
0,1,8/17/17,College Woods,mixed,CW_MX,5,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,1,A,open,25,3,28,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,1,B,open,45,9,54,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,1,C,closed,21,4,25,1,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,1,D,closed,29,6,35,0,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,2,A,open,5,7,12,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,2,B,open,1,2,3,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,2,C,closed,8,11,19,0,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,2,D,closed,7,3,10,0,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,3,A,open,23,5,28,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,3,B,open,24,3,27,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,3,C,closed,31,7,38,0,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,3,D,closed,34,11,45,0,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,4,A,open,0,0,0,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,4,B,open,NA,NA,NA,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,4,C,closed,20,0,20,0,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,4,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,5,A,open,22,10,32,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,5,B,open,22,9,31,,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,5,C,closed,15,0,15,0,,,,
0,1,8/16/17,MacDonald,cleared,MAC_CL,5,D,closed,14,6,20,0,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,1,A,open,0,2,2,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,1,B,open,NA,NA,NA,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,1,C,closed,5,1,6,0,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,1,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,2,A,open,1,1,2,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,2,B,open,NA,NA,NA,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,2,C,closed,2,1,3,0,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,2,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,3,A,open,3,0,3,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,3,B,open,NA,NA,NA,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,3,C,closed,11,1,12,0,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,3,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,4,A,open,3,2,5,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,4,B,open,NA,NA,NA,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,4,C,closed,3,1,4,0,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,4,D,closed,NA,NA,NA,NA,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,5,A,open,0,4,4,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,5,B,open,NA,NA,NA,,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,5,C,closed,0,2,2,0,,,,
0,1,8/16/17,MacDonald,white pine,MAC_WP,5,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,1,A,open,0,1,1,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,1,B,open,0,1,1,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,1,C,closed,0,2,2,5,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,1,D,closed,0,0,0,5,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,2,A,open,1,6,7,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,2,B,open,NA,NA,NA,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,2,C,closed,0,15,15,3,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,2,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,3,A,open,2,1,3,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,6,A,open,0,7,7,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,3,C,closed,7,0,7,5,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,6,C,closed,0,2,2,10,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,4,A,open,0,5,5,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,4,B,open,1,11,12,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,4,C,closed,0,6,6,18,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,4,D,closed,0,10,10,14,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,5,A,open,6,42,48,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,5,B,open,1,5,6,,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,5,C,closed,2,9,11,14,,,,
1,2,8/31/17,Horti Farm,cleared,HF_CL,5,D,closed,3,6,9,21,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,1,A,open,0,0,0,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,1,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,1,C,closed,0,0,0,3,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,1,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,2,A,open,0,0,0,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,2,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,2,C,closed,0,0,0,2,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,2,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,3,A,open,0,1,1,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,3,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,3,C,closed,0,0,0,2,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,3,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,4,A,open,2,0,2,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,4,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,4,C,closed,4,0,4,0,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,4,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,5,A,open,0,0,0,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,5,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,5,C,closed,0,0,0,3,,,,
1,2,8/31/17,College Woods,white pine,CW_WP,5,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,1,A,open,0,0,0,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,1,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,1,C,closed,0,0,0,2,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,1,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,2,A,open,0,0,0,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,2,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,2,C,closed,0,2,2,0,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,2,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,3,A,open,0,0,0,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,3,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,3,C,closed,0,4,4,2,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,3,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,4,A,open,2,0,2,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,4,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,4,C,closed,0,3,3,0,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,4,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,5,A,open,0,0,0,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,5,B,open,NA,NA,NA,,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,5,C,closed,0,0,0,2,,,,
1,2,8/31/17,College Woods,mixed,CW_MX,5,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,1,A,open,21,2,23,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,1,B,open,41,3,44,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,1,C,closed,24,1,25,9,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,1,D,closed,26,2,28,19,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,2,A,open,0,5,5,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,2,B,open,0,0,0,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,2,C,closed,0,3,3,17,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,2,D,closed,1,3,4,8,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,3,A,open,28,3,31,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,3,B,open,28,4,32,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,3,C,closed,20,13,33,8,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,3,D,closed,24,12,36,11,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,4,A,open,6,0,6,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,4,B,open,NA,NA,NA,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,4,C,closed,26,0,26,0,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,4,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,5,A,open,2,11,13,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,5,B,open,6,14,20,,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,5,C,closed,9,7,16,1,,,,
1,2,8/31/17,MacDonald,cleared,MAC_CL,5,D,closed,4,12,16,4,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,1,A,open,0,0,0,,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,1,B,open,NA,NA,NA,,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,1,C,closed,1,2,3,3,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,1,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,2,A,open,0,0,0,,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,2,B,open,NA,NA,NA,,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,2,C,closed,2,0,2,1,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,2,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,3,A,open,1,0,1,,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,3,B,open,NA,NA,NA,,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,3,C,closed,3,0,3,8,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,3,D,closed,NA,NA,NA,NA,,,,
1,2,8/31/17,MacDonald,white pine,MAC_WP,4,A,open,1,2,3,,,,,
