Site,Canopy,Plot,Age,Flowering,NotFlowering
College Woods,Pine,CW 03,0,,4
College Woods,Pine,CW 03,1,,22
College Woods,Pine,CW 03,2,,16
College Woods,Pine,CW 03,3,,21
College Woods,Pine,CW 03,4,,27
College Woods,Pine,CW 03,5,,20
College Woods,Pine,CW 03,6,,12
College Woods,Pine,CW 03,7,,16
College Woods,Pine,CW 03,8,,8
College Woods,Pine,CW 03,9,,4
College Woods,Pine,CW 03,10,1,1
College Woods,Pine,CW 03,11,,2
College Woods,Pine,CW 03,12,,4
College Woods,Pine,CW 03,13,1,2
College Woods,Pine,CW 03,14,,1
College Woods,Pine,CW 03,15,2,3
College Woods,Pine,CW 03,16,1,1
College Woods,Pine,CW 03,17,,
College Woods,Pine,CW 03,18,,
College Woods,Pine,CW 03,19,,
College Woods,Pine,CW 03,20,1,
College Woods,Pine,CW 03,21,,
College Woods,Pine,CW 03,22,,1
College Woods,Pine,CW 03,23,,
College Woods,Pine,CW 03,24,,
College Woods,Pine,CW 03,25,1,
College Woods,Pine,CW 03,26,1,
College Woods,Pine,CW 03,27,,
College Woods,Pine,CW 03,28,,
College Woods,Pine,CW 03,29,,
College Woods,Pine,CW 03,30,,
College Woods,Pine,CW 03,31,,
College Woods,Pine,CW 03,32,,
College Woods,Pine,CW 03,33,,
College Woods,Pine,CW 03,34,,
College Woods,Pine,CW 03,35,,
College Woods,Pine,CW 03,36,,
College Woods,Pine,CW 03,37,,
College Woods,Pine,CW 03,38,,
College Woods,Pine,CW 03,39,,
College Woods,Pine,CW 03,40,,
College Woods,Pine,CW 03,41,,
College Woods,Pine,CW 03,42,,
College Woods,Pine,CW 03,43,,
College Woods,Pine,CW 03,44,,
College Woods,Pine,CW 03,45,,
College Woods,Pine,CW 03,46,,
College Woods,Pine,CW 03,47,,
College Woods,Pine,CW 03,48,,
College Woods,Pine,CW 03,49,,
College Woods,Pine,CW 03,50,,
College Woods,Pine,CW 03,51,,
College Woods,Pine,CW 03,52,,
College Woods,Pine,CW 03,53,,
College Woods,Pine,CW 03,54,,
College Woods,Pine,CW 03,55,,
College Woods,Pine,CW 03,56,,
College Woods,Pine,CW 03,57,,
College Woods,Pine,CW 03,58,,
College Woods,Pine,CW 04,0,, 
College Woods,Pine,CW 04,1,, 
College Woods,Pine,CW 04,2,,10
College Woods,Pine,CW 04,3,,12
College Woods,Pine,CW 04,4,,6
College Woods,Pine,CW 04,5,,10
College Woods,Pine,CW 04,6,,6
College Woods,Pine,CW 04,7,,12
College Woods,Pine,CW 04,8,,6
College Woods,Pine,CW 04,9,2,5
College Woods,Pine,CW 04,10,,2
College Woods,Pine,CW 04,11,1,3
College Woods,Pine,CW 04,12,,1
College Woods,Pine,CW 04,13,2,3
College Woods,Pine,CW 04,14,1, 
College Woods,Pine,CW 04,15,4,1
College Woods,Pine,CW 04,16,, 
College Woods,Pine,CW 04,17,1, 
College Woods,Pine,CW 04,18,, 
College Woods,Pine,CW 04,19,2, 
College Woods,Pine,CW 04,20,, 
College Woods,Pine,CW 04,21,1, 
College Woods,Pine,CW 04,22,, 
College Woods,Pine,CW 04,23,, 
College Woods,Pine,CW 04,24,, 
College Woods,Pine,CW 04,25,, 
College Woods,Pine,CW 04,26,1, 
College Woods,Pine,CW 04,27,, 
