SpeciesName,HerbariumCode,Source,Collector,RecordNumber,CollectionDay,CollectionMonth,CollectionYear,Country,Admin1,Admin2,Admin3,Locality,Longitude,Latitude,CoordUncertainty,LocationNotes,EcologyNotes,AnalysisNotes,Remove,CountyLevelOnly
Frangula alnus,BKL,http://www.bbg.org/the-herbarium/ailanthus/search.php 'Scientific name contains'=frangula,"Glenn, Steven D.",40507,1,7,1995,United States,CONNECTICUT,Fairfield,Ridgefield,"Silver Spring Rd, E side swamp, S area",-73.5,41.25,NA,,,,NA,0
Frangula alnus,BKL,http://www.bbg.org/the-herbarium/ailanthus/search.php 'Scientific name contains'=frangula,"Glenn, Steven D.",301929,1,6,2005,United States,CONNECTICUT,Fairfield,Shelton,Indian Well State Park,-73.11666667,41.33333333,NA,,,,NA,0
Frangula alnus,CONN,IPANE,Edwin Hubert Eames,,28,6,1928,United States,CONNECTICUT,Fairfield,Redding,,-73.3933,41.3044,NA,,,,NA,0
Frangula alnus,CONN,IPANE,Edwin Hubert Eames,,18,9,1940,United States,CONNECTICUT,Fairfield,Fairfield,Southport,-73.2839,41.1364,NA,,,,NA,0
Frangula alnus,CONN,IPANE,Edwin Hubert Eames,,1,10,1947,United States,CONNECTICUT,Fairfield,Fairfield,,-73.2724,41.1757,NA,,,,NA,0
Frangula alnus,CONN,IPANE,Gordon C. Tucker,,25,6,1975,United States,CONNECTICUT,New London,Stonington,Barn Island Hunting Area,-71.8667,41.3419,NA,,,,NA,0
Frangula alnus,CONN,IPANE,Ronald A. Pfeffer,,9,10,1975,United States,CONNECTICUT,Hartford,Farmington,,-72.7939,41.7114,NA,Batterson City Park,,,NA,0
Frangula alnus,CONN,IPANE,S. J. Barlow,,9,10,1975,United States,CONNECTICUT,Hartford,Farmington,,-72.7939,41.7114,NA,Batterson City Park,,,NA,0
Frangula alnus,CONN,IPANE,Diane Carter,,13,9,1979,United States,CONNECTICUT,Tolland,Mansfield,Storrs,-72.254,41.8118,NA,Hillel house,,,NA,0
Frangula alnus,CONN,IPANE,Kerry Barringer,,1,6,1979,United States,CONNECTICUT,Tolland,Mansfield,Storrs,-72.2543,41.8121,NA,behind synagogue,,,NA,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,30,6,1989,United States,CONNECTICUT,Hartford,Manchester,,-72.5247,41.7753,NA,,,,NA,0
Frangula alnus,CONN,IPANE,Juliana Barrett,,28,8,1989,United States,CONNECTICUT,Fairfield,Norwalk,,-73.4228,41.1293,NA,Pitney Bowes property,,,NA,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,10,6,1989,United States,CONNECTICUT,Fairfield,Redding,Huckleberry Swamp,-73.4371,41.3068,NA,Audubon Preserve,,,NA,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,10,7,1989,United States,CONNECTICUT,Fairfield,Ridgefield,Great Swamp,-73.4853,41.2897,NA,,Shrub- 2.5 m tall,,NA,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,20,8,1989,United States,CONNECTICUT,Fairfield,Stamford,,-73.5487,41.136,NA,Stamford Connecticut Stamford Connecticut USA,,,NA,0
Frangula alnus,CONN,IPANE,Leslie John Mehrhoff,,30,6,1990,United States,CONNECTICUT,Litchfield,Norfolk,,-73.2222,41.9692,NA,Great Mountain Forest,,,NA,0
