Property,thresh,trt.cycle,trt.followup,Trt_Opn,Trt_Oth,Trt_Dec,Trt_WP,Trt_Evg,Trt_Mxd
Burley-Demeritt,0,100,0,N,N,N,N,N,N
College Woods,0,100,0,N,N,N,N,N,N
Davis Park,0,100,0,N,N,N,N,N,N
Dudley Lot,0,100,0,N,N,N,N,N,N
East Foss Farm,0,100,0,N,N,N,N,N,N
Horticulture Farm,0,100,0,N,N,N,N,N,N
Kingman Farm,0,100,0,N,N,N,N,N,N
MacDonald Lot,0,100,0,N,N,N,N,N,N
Moore Fields,0,100,0,N,N,N,N,N,N
Saddleback Mountain,0,100,0,N,N,N,N,N,N
Thompson Farm,0,100,0,N,N,N,N,N,N
West Foss Farm,0,100,0,N,N,N,N,N,N
