Property,thresh,trt.cycle,trt.followup,Trt_Opn,Trt_Oth,Trt_Dec,Trt_WP,Trt_Evg,Trt_Mxd,ground_cover
Burley-Demeritt,10000,1,0,M,M,M,M,M,M,NULL
College Woods,0,1,0,C,M,M,M,M,M,NULL
Davis Park,10000,1,0,M,M,M,M,M,M,NULL
Dudley Lot,0,100,0,N,N,N,N,N,N,NULL
East Foss Farm,0,100,0,N,N,N,N,N,N,NULL
Horticulture Farm,0,100,0,N,N,N,N,N,N,NULL
Kingman Farm,0,100,0,N,N,N,N,N,N,NULL
MacDonald Lot,0,100,0,N,N,N,N,N,N,NULL
Moore Fields,10000,1,0,M,M,M,M,M,M,NULL
Saddleback Mountain,10000,1,0,M,M,M,M,M,M,NULL
Thompson Farm,0,100,0,N,N,N,N,N,N,NULL
West Foss Farm,0,100,0,N,N,N,N,N,N,NULL
