Property,thresh,trt.cycle,trt.followup,Trt_Opn,Trt_Oth,Trt_Dec,Trt_WP,Trt_Evg,Trt_Mxd,ground_cover
Burley-Demeritt,0,100,0,N,N,N,N,N,N,NULL
College Woods,0,1,0,M,M,M,M,M,M,NULL
Davis Park,0,100,0,N,N,N,N,N,N,NULL
Dudley Lot,0,100,0,N,N,N,N,N,N,NULL
East Foss Farm,0,5,1,M,N,N,N,N,N,NULL
Horticulture Farm,0,100,0,N,N,N,N,N,N,NULL
Kingman Farm,0,5,1,M,N,N,N,N,N,NULL
MacDonald Lot,0,5,1,M,N,N,N,N,N,NULL
Moore Fields,0,5,1,C,C,C,C,C,C,NULL
Saddleback Mountain,0,100,0,N,N,N,N,N,N,NULL
Thompson Farm,0,5,1,M,N,N,N,N,N,NULL
West Foss Farm,0,5,1,M,N,N,N,N,N,NULL
