Property,thresh,trt.cycle,trt.followup,Trt_Opn,Trt_Oth,Trt_Dec,Trt_WP,Trt_Evg,Trt_Mxd,ground_cover
Burley-Demeritt,0,5,2,MC,MC,MC,MC,MC,MC,Cov
College Woods,0,5,2,MC,MC,MC,MC,MC,MC,Cov
Davis Park,0,5,2,MC,MC,MC,MC,MC,MC,Cov
Dudley Lot,0,5,2,MC,MC,MC,MC,MC,MC,Cov
East Foss Farm,0,5,2,MC,MC,MC,MC,MC,MC,Cov
Horticulture Farm,0,5,2,MC,MC,MC,MC,MC,MC,Cov
Kingman Farm,0,5,2,MC,MC,MC,MC,MC,MC,Cov
MacDonald Lot,0,5,2,MC,MC,MC,MC,MC,MC,Cov
Moore Fields,0,5,2,MC,MC,MC,MC,MC,MC,Cov
Saddleback Mountain,0,5,2,MC,MC,MC,MC,MC,MC,Cov
Thompson Farm,0,5,2,MC,MC,MC,MC,MC,MC,Cov
West Foss Farm,0,5,2,MC,MC,MC,MC,MC,MC,Cov
