Property,thresh,trt.cycle,trt.followup,Trt_Opn,Trt_Oth,Trt_Dec,Trt_WP,Trt_Evg,Trt_Mxd
Burley-Demeritt,0,5,3,MC,MC,MC,MC,MC,MC
College Woods,0,5,3,MC,MC,MC,MC,MC,MC
Davis Park,0,5,3,MC,MC,MC,MC,MC,MC
Dudley Lot,0,5,3,MC,MC,MC,MC,MC,MC
East Foss Farm,0,5,3,MC,MC,MC,MC,MC,MC
Horticulture Farm,0,5,3,MC,MC,MC,MC,MC,MC
Kingman Farm,0,5,3,MC,MC,MC,MC,MC,MC
MacDonald Lot,0,5,3,MC,MC,MC,MC,MC,MC
Moore Fields,0,5,3,MC,MC,MC,MC,MC,MC
Saddleback Mountain,0,5,3,MC,MC,MC,MC,MC,MC
Thompson Farm,0,5,3,MC,MC,MC,MC,MC,MC
West Foss Farm,0,5,3,MC,MC,MC,MC,MC,MC
