Property,thresh,trt.cycle,trt.followup,Trt_Opn,Trt_Oth,Trt_Dec,Trt_WP,Trt_Evg,Trt_Mxd
Burley-Demeritt,10000,1,0,M,M,M,M,M,M
College Woods,0,1,0,MC,M,M,M,M,M
Davis Park,10000,1,0,M,M,M,M,M,M
Dudley Lot,0,100,0,N,N,N,N,N,N
East Foss Farm,0,100,0,N,N,N,N,N,N
Horticulture Farm,0,100,0,N,N,N,N,N,N
Kingman Farm,0,100,0,N,N,N,N,N,N
MacDonald Lot,0,100,0,N,N,N,N,N,N
Moore Fields,10000,1,0,M,M,M,M,M,M
Saddleback Mountain,10000,1,0,M,M,M,M,M,M
Thompson Farm,0,100,0,N,N,N,N,N,N
West Foss Farm,0,100,0,N,N,N,N,N,N
