response,td,smp,beta
pOcc,1,13002,NA
pOcc,1,14446,1.0001317464424153
pOcc,1,15891,1.0000642997987605
pOcc,1,17335,1.0000522245082077
pOcc,1,18780,1.000029586310333
pOcc,1,20225,1.0000596044731558
pOcc,1,21669,1.0000417730378626
pOcc,1,23114,1.0000366946857708
pOcc,1,24558,1.0000140938517583
pOcc,1,26003,1.000004498705325
pOcc,3,13002,NA
pOcc,3,14446,1.000031444271977
pOcc,3,15891,1.000044365270799
pOcc,3,17335,1.0000599796385885
pOcc,3,18780,1.000022359398798
pOcc,3,20225,1.000030501501713
pOcc,3,21669,1.000033296795078
pOcc,3,23114,1.0000309052244734
pOcc,3,24558,1.0000123400944694
pOcc,3,26003,1.0000027838479335
pOcc,5,13002,NA
pOcc,5,14446,1.0000254902469317
pOcc,5,15891,1.00003854547658
pOcc,5,17335,1.0000548256210615
pOcc,5,18780,1.0000229668623863
pOcc,5,20225,1.0000321137592054
pOcc,5,21669,1.000029618194062
pOcc,5,23114,1.0000230559693872
pOcc,5,24558,1.0000124422442762
pOcc,5,26003,1.0000040331898794
pSB,1,13002,NA
pSB,1,14446,1.0001370651838113
pSB,1,15891,1.0000775788231193
pSB,1,17335,1.0000509763483993
pSB,1,18780,1.0000278502716815
pSB,1,20225,1.0000426419643467
pSB,1,21669,1.000013517195415
pSB,1,23114,1.0000159302611744
pSB,1,24558,1.0000062943619272
pSB,1,26003,1.0000017870489974
pSB,3,13002,NA
pSB,3,14446,1.0000909419468678
pSB,3,15891,1.0000522460607484
pSB,3,17335,1.0000321798805176
pSB,3,18780,1.0000209284872503
pSB,3,20225,1.000035242406662
pSB,3,21669,1.000015772543729
pSB,3,23114,1.0000091731717842
pSB,3,24558,1.000004450446168
pSB,3,26003,1.0000013890058024
pSB,5,13002,NA
pSB,5,14446,1.0000762174834856
pSB,5,15891,1.000042616139848
pSB,5,17335,1.0000296396426418
pSB,5,18780,1.0000165972080473
pSB,5,20225,1.0000332771769462
pSB,5,21669,1.0000195733752644
pSB,5,23114,1.0000078739520601
pSB,5,24558,1.0000050288474418
pSB,5,26003,1.0000015096012298
pK,1,13002,NA
pK,1,14446,1.0000909549387287
pK,1,15891,1.000067253278089
pK,1,17335,1.0001051620860713
pK,1,18780,1.0000840995013023
pK,1,20225,1.0000295135173864
pK,1,21669,1.0000350203424557
pK,1,23114,1.0000248802555385
pK,1,24558,1.0000142694846488
pK,1,26003,1.0000026793107712
pK,3,13002,NA
pK,3,14446,1.0000625660856515
pK,3,15891,1.0000433421044015
pK,3,17335,1.0000962203930603
pK,3,18780,1.0000434550426236
pK,3,20225,1.0000331750396017
pK,3,21669,1.0000294300612178
pK,3,23114,1.000030771246848
pK,3,24558,1.0000169074661187
pK,3,26003,1.0000027340697726
pK,5,13002,NA
pK,5,14446,1.0000596981753538
pK,5,15891,1.000050441232435
pK,5,17335,1.000094268831166
pK,5,18780,1.000031127081703
pK,5,20225,1.0000294132630574
pK,5,21669,1.000022255497916
pK,5,23114,1.000038094770546
pK,5,24558,1.0000164643528333
pK,5,26003,1.0000055637038896
medNg0,1,13002,NA
medNg0,1,14446,1
medNg0,1,15891,1
medNg0,1,17335,1
medNg0,1,18780,1
medNg0,1,20225,1
medNg0,1,21669,1
medNg0,1,23114,1
medNg0,1,24558,1
medNg0,1,26003,1
medNg0,3,13002,NA
medNg0,3,14446,1.000591622683361
medNg0,3,15891,1.0013445619241887
medNg0,3,17335,1.0023162533623664
medNg0,3,18780,1.0010706482163487
medNg0,3,20225,1.0001750545603887
medNg0,3,21669,1.000112437220311
medNg0,3,23114,1.0000990955431475
medNg0,3,24558,1.0000364428434168
medNg0,3,26003,1.000000247628656
