response,td,smp,Dev
pOcc,1,13002,8.363460013797786e-4
pOcc,1,14446,8.039559076798823e-4
pOcc,1,15891,8.300804766088123e-4
pOcc,1,17335,8.303217827348888e-4
pOcc,1,18780,8.224130242968485e-4
pOcc,1,20225,8.329095221754242e-4
pOcc,1,21669,8.183733300649173e-4
pOcc,1,23114,8.24522488644122e-4
pOcc,1,24558,8.195385343762279e-4
pOcc,1,26003,8.191152944843313e-4
pOcc,3,13002,4.003727703494346e-4
pOcc,3,14446,3.8523516817957557e-4
pOcc,3,15891,3.95326621459743e-4
pOcc,3,17335,3.921364744363602e-4
pOcc,3,18780,3.90208148725228e-4
pOcc,3,20225,3.922713580852831e-4
pOcc,3,21669,3.8169764285298093e-4
pOcc,3,23114,3.8503048763000036e-4
pOcc,3,24558,3.8260844550470907e-4
pOcc,3,26003,3.823292144306774e-4
pOcc,5,13002,3.7047865129823197e-4
pOcc,5,14446,3.5506212751376166e-4
pOcc,5,15891,3.6088950648773574e-4
pOcc,5,17335,3.596682925912999e-4
pOcc,5,18780,3.5937207833975114e-4
pOcc,5,20225,3.5733222319264376e-4
pOcc,5,21669,3.49905451534428e-4
pOcc,5,23114,3.52384019002821e-4
pOcc,5,24558,3.474683122066659e-4
pOcc,5,26003,3.468804223202774e-4
pSB,1,13002,9.728738605488737e-4
pSB,1,14446,9.406599622058692e-4
pSB,1,15891,9.820366037730332e-4
pSB,1,17335,9.697188624776459e-4
pSB,1,18780,9.661892742468412e-4
pSB,1,20225,9.681262322651432e-4
pSB,1,21669,9.705716029247128e-4
pSB,1,23114,9.721749594533088e-4
pSB,1,24558,9.666813676911378e-4
pSB,1,26003,9.623545401875006e-4
pSB,3,13002,5.63634082645217e-4
pSB,3,14446,5.446080562122862e-4
pSB,3,15891,5.635084065377164e-4
pSB,3,17335,5.534359487234885e-4
pSB,3,18780,5.514931158892956e-4
pSB,3,20225,5.520485834480151e-4
pSB,3,21669,5.454290310709615e-4
pSB,3,23114,5.498645682046612e-4
pSB,3,24558,5.482858300209502e-4
pSB,3,26003,5.419171785509953e-4
pSB,5,13002,5.2276020830616e-4
pSB,5,14446,5.024684331179173e-4
pSB,5,15891,5.160790564789669e-4
pSB,5,17335,5.024124993810814e-4
pSB,5,18780,5.020804457641469e-4
pSB,5,20225,4.985506022774577e-4
pSB,5,21669,4.973385996237545e-4
pSB,5,23114,5.000774890409514e-4
pSB,5,24558,4.953871627504154e-4
pSB,5,26003,4.909295544391797e-4
pK,1,13002,6.829128923874805e-4
pK,1,14446,6.767441526183027e-4
pK,1,15891,6.750819767568346e-4
pK,1,17335,6.75919658609161e-4
pK,1,18780,6.759641489353615e-4
pK,1,20225,6.787440750983679e-4
pK,1,21669,6.710472162189821e-4
pK,1,23114,6.703273537655944e-4
pK,1,24558,6.720560426178962e-4
pK,1,26003,6.740365780246117e-4
pK,3,13002,6.230175693722552e-4
pK,3,14446,6.137435498493692e-4
pK,3,15891,6.113273313347686e-4
